This takes samples from 1 FSR and the MPU6050. We got 623 samples from 1600 expected samples(200HZ sampling rate for 8 seconds) due to some I/O operations overhead which will be fixed.
However the data successfully reflected the motion performed:
1. Press fsr and imu unchanged
2.Press FSR
3. Rotate IMU (this can be perceived from accel z value changing from the gravity constant to a smaller value as well as the gyro values)
4. IMU back to original position
5. FSR released
timestamp,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,fsr_value
1739750162.1101017,-3.7937109375,0.33769775390625,9.35255126953125,-7.717557251908397,-2.49618320610687,-1.3435114503816794,0
1739750162.120225,-3.8679565429687504,0.4981640625,9.398056640625,-7.290076335877862,-1.984732824427481,-1.549618320610687,0
1739750162.1303403,-3.39374267578125,0.09580078125000001,8.48555419921875,1.381679389312977,3.5267175572519083,1.3206106870229009,0
1739750162.1404936,-4.05476806640625,0.5700146484375,9.72138427734375,4.114503816793893,-4.4961832061068705,0.8931297709923665,0
1739750162.15063,-3.47038330078125,0.3975732421875,9.223220214843751,5.183206106870229,-0.6641221374045801,-2.7480916030534353,0
1739750162.1607454,-3.8008959960937503,0.21315673828125,9.410031738281251,-7.755725190839694,-4.320610687022901,-2.030534351145038,0
1739750162.1708634,-3.67875,0.26584716796875,9.4603271484375,-9.13740458015267,-3.427480916030534,-1.3206106870229009,0
1739750162.181002,-3.6883300781250004,0.42152343750000004,9.33099609375,-3.9389312977099236,-2.564885496183206,-1.6793893129770991,0
1739750162.191142,-3.8104760742187502,0.3448828125,9.28070068359375,-5.190839694656488,-2.7709923664122136,0.40458015267175573,0
1739750162.2012603,-3.7170703125,0.45744873046875,9.254355468750001,-4.068702290076335,-3.1068702290076335,-0.8854961832061069,0
1739750162.2113762,-3.822451171875,0.49097900390625004,9.34776123046875,-3.4732824427480917,-3.3740458015267176,-2.0229007633587788,0
1739750162.2214906,-3.7074902343750002,0.29219238281250004,9.096284179687501,-4.106870229007634,-3.6412213740458017,-1.3969465648854962,0
